,job_title,company_name,country,city,job_type,work_location,experience_level,yrs_exp,industry_and_skills,label
0,AI & Data Science Python Developer Intern,Sequel Solutions,Egypt,Cairo,Internship,Remote,Student,0 - 1,"IT/Software Development, Engineering - Telecom/Technology, Computer Science, Algorithms, Information Technology (IT), Python, Software, Software Development, Software Engineering, Programming",0
1,Senior Accountant,Data Science,Egypt,Giza,Full Time,On-site,Experienced,3 - 5,"Accounting/Finance, Administration, Banking, Accounting, Accounting Software, Data Entry, excel, Finance, Financial Management, Microsoft Excel",2
2,Telesales Representative & Data Collector,Diamond,Egypt,Giza,Full Time,On-site,Experienced,3 - 5,"R&D/Science, Sales/Retail, Sales Field, Telesales, Data collector, Food Science",2
3,Data Management Supervisor,Nahdet Misr Publishing Group,Egypt,Giza,Full Time,On-site,Experienced,6 - 8,"Operations/Management, Sales/Retail, Computer Science, Data Management, Computer Engineering, Data, Management, Information Technology (IT)",2
4,Data Analyst,Confidential,Egypt,Giza,Full Time,Hybrid,Entry Level,1 - 2,"Analyst/Research, Engineering - Telecom/Technology, Analysis, analytical, Communication skills, Computer Science, Data, Data Analysis, Engineering, ETL",2
5,Data Analyst,Asfour for Mining and Refractories,Egypt,Cairo,Full Time,On-site,Experienced,1 - 3,"Operations/Management, Manufacturing/Production, Analyst/Research, Analysis, business, analytical, Data Analysis, Computer Science, Data, excel",2
6,Senior Data Warehousing & Business Intelligence Engineer,"The Micro, Small & Medium Enterprise Development Agency ",Egypt,Giza,Full Time,On-site,Experienced,5 - 10,"IT/Software Development, Engineering - Telecom/Technology, Analysis, BI, Business Intelligence, Computer Science, Data Analysis, Data Warehousing, Engineering, Information Technology (IT)",0
7,Data Science Instructor,EpsilonAI,Egypt,Cairo,Full Time,Hybrid,Experienced,1+,"IT/Software Development, Engineering - Telecom/Technology, Training/Instructor, Data Science, Computer Science, Computer Engineering, Python, Machine Learning, Deep Learning, Artificial Intelligence (AI)",2
8,Data Engineer,BBI-Consultancy,Egypt,Cairo,Full Time,Hybrid,Experienced,3 - 7,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Computer Engineering, Computer Science, Data Mining, Database, Engineering, Ibm, Information Technology (IT)",0
9,Data Analyst,Akhnaton for Trading & Distributing ,Egypt,Cairo,Full Time,On-site,Entry Level,2 - 3,"Analyst/Research, Analyst, Data Analysis, excel, Data Science, Analysis",2
10,Data Management Consultant,Transformation Experts,Egypt,Cairo,Full Time,Remote,Experienced,1 - 5,"IT/Software Development, Computer Science, Consulting, Data, Data Management, Information Technology (IT), Project Management",2
11,Recruitment Specialist,Data Science,Egypt,Giza,Full Time,On-site,Entry Level,1 - 3,"Human Resources, IT/Software Development, Training/Instructor, Human Resources (HR), Human Resources, Management, Business Administration, Communication skills, Recruitment, Sourcing",2
12,Data Analyst,Sequel Solutions,Egypt,Cairo,Full Time,Remote,Entry Level,1 - 2,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Analysis, analytical, Data, Data Analysis, Data Analyst, Information Technology (IT), Python",0
13,Data Secuity Administrator,Confidential,Egypt,Cairo,Full Time,On-site,Experienced,5 - 7,"males_only, Installation/Maintenance/Repair, IT/Software Development, Engineering - Telecom/Technology, Computer Systems, Data Security, Data Archiving, security solutions, Engineering, Veeam, Symantec Backup Exec",2
